UBERON:0002435 striatum,UBERON:0001891 midbrain,0.101611731,,
UBERON:0002435 striatum,UBERON:0001997 olfactory epithelium,0,,
UBERON:0002435 striatum,CL:0002034 long term hematopoietic stem cell,0,,
UBERON:0002435 striatum,CL:0002033 short term hematopoietic stem cell,0,,
UBERON:0002435 striatum,CL:0002319 neural cell,0.115377942,,
UBERON:0002435 striatum,CL:0000235 macrophage,0.00066646,,
UBERON:0002435 striatum,UBERON:0000966 retina,0.001302357,,
UBERON:0002435 striatum,CL:0001056 dendritic cell, human,0,
UBERON:0002435 striatum,UBERON:0001264 pancreas,0.000138822,,
UBERON:0002435 striatum,UBERON:0000473 testis,0.000298194,,
UBERON:0002435 striatum,CL:0000169 type B pancreatic cell,0,,
UBERON:0002435 striatum,UBERON:0001902 epithelium of small intestine,0,,
UBERON:0002435 striatum,UBERON:0002048 lung,0.000708458,,
UBERON:0002435 striatum,CL:0000084 T cell,0.000446562,,
UBERON:0002435 striatum,UBERON:0000922 embryo,0.004151868,,
UBERON:0002435 striatum,CL:2000042 embryonic fibroblast,0,,
UBERON:0002435 striatum,UBERON:0000955 brain,0.507527254,,
UBERON:0002435 striatum,UBERON:0000045 ganglion,0.004862719,,
UBERON:0002435 striatum,UBERON:0001954 Ammon's horn,0.049265025,,
UBERON:0002435 striatum,CL:0000057 fibroblast,0.000923854,,
UBERON:0002435 striatum,UBERON:0002038 substantia nigra,0.122154319,,
UBERON:0002435 striatum,UBERON:0000115 lung epithelium,0,,
UBERON:0002435 striatum,CL:0000163 endocrine cell,0.000121293,,
UBERON:0002435 striatum,UBERON:0002107 liver,0.002136879,,
UBERON:0002435 striatum,UBERON:0010743 meningeal cluster,0,,
UBERON:0002435 striatum,UBERON:0004129 growth plate cartilage,0,,
UBERON:0002435 striatum,CL:0002365 medullary thymic epithelial cell,0,,
UBERON:0002435 striatum,UBERON:0001885 dentate gyrus of hippocampal formation,0,,
UBERON:0002435 striatum,CL:0000127 astrocyte,0.009224595,,
UBERON:0002435 striatum,UBERON:0000007 pituitary gland,0.002397914,,
UBERON:0002435 striatum,UBERON:0000992 female gonad,0.000541012,,
UBERON:0002435 striatum,CL:0000081 blood cell,0.003170675,,
UBERON:0002435 striatum,CL:0008019 mesenchymal cell,0.000294692,,
UBERON:0002435 striatum,CL:0000423 tip cell,0,,
UBERON:0002435 striatum,CL:1000497 kidney cell,6.75E-05,,
UBERON:0002435 striatum,CL:0001059 common myeloid progenitor, CD34-positive,0,
UBERON:0002435 striatum,CL:0000763 myeloid cell,0.000922177,,
UBERON:0002435 striatum,CL:0000353 blastoderm cell,0,,
UBERON:0002435 striatum,UBERON:0001782 pigmented layer of retina,0,,
UBERON:0002435 striatum,CL:0000192 smooth muscle cell,6.54E-05,,
UBERON:0002435 striatum,CL:0000746 cardiac muscle cell,0,,
UBERON:0002435 striatum,CL:1000410 myocyte of atrioventricular node,0,,
CL:0000137 osteocyte,CL:0002092 bone marrow cell,0.031981321,,
CL:0000137 osteocyte,CL:0000451 dendritic cell,0.001184316,,
CL:0000137 osteocyte,UBERON:0002435 striatum,0,,
CL:0000137 osteocyte,CL:0002322 embryonic stem cell,0.002924296,,
CL:0000137 osteocyte,UBERON:0001851 cortex,0.010172176,,
CL:0000137 osteocyte,UBERON:0001003 skin epidermis,0,,
CL:0000137 osteocyte,UBERON:0000044 dorsal root ganglion,0.000186957,,
CL:0000137 osteocyte,UBERON:0001898 hypothalamus,0.000484048,,
CL:0000137 osteocyte,CL:0000988 hematopoietic cell,0.002362128,,
CL:0000137 osteocyte,CL:0000540 neuron,0.010479577,,
CL:0000137 osteocyte,CL:0002321 embryonic cell,0.000323232,,
CL:0000137 osteocyte,CL:0000037 hematopoietic stem cell,0.004536738,,
CL:0000137 osteocyte,CL:0000687 R1 photoreceptor cell,0.000177486,,
CL:0000137 osteocyte,UBERON:0001891 midbrain,0.000166148,,
CL:0000137 osteocyte,UBERON:0001997 olfactory epithelium,0,,
CL:0000137 osteocyte,CL:0002034 long term hematopoietic stem cell,0,,
CL:0000137 osteocyte,CL:0002033 short term hematopoietic stem cell,0,,
CL:0000137 osteocyte,CL:0002319 neural cell,0.010479577,,
CL:0000137 osteocyte,CL:0000235 macrophage,0.08237007,,
CL:0000137 osteocyte,UBERON:0000966 retina,0.000485486,,
CL:0000137 osteocyte,CL:0001056 dendritic cell, human,0.000416444,
CL:0000137 osteocyte,UBERON:0001264 pancreas,0.00113583,,
CL:0000137 osteocyte,UBERON:0000473 testis,0.00016483,,
CL:0000137 osteocyte,CL:0000169 type B pancreatic cell,0.000605111,,
